User;Name;Date;changes
TiChou;Bataille_de_Cholet;26/07/2007 10:19;18
Musso;Coup_d'État_du_18_fructidor_an_V;27/07/2007 06:09;48
Châtillon;Bonnet_phrygien;30/07/2007 05:13;149
91.164.76.53;Carle_Vernet;30/07/2007 06:48;217
Polmars;Complot_de_l'Œillet;30/07/2007 08:01;72
83.152.86.142;1er_régiment_de_dragons;30/07/2007 09:01;75
83.152.86.142;1er_régiment_de_dragons;30/07/2007 09:04;38
91.164.76.158;Carle_Vernet;31/07/2007 08:54;26
81.220.243.109;Carle_Vernet;04/08/2007 07:41;872
Ollamh;Bonnet_phrygien;04/08/2007 09:55;6
Davric;10e_régiment_de_hussards;05/08/2007 04:10;96
Davric;1er_régiment_de_dragons;05/08/2007 06:26;80
Erabot;Bon_Albert_Briois_de_Beaumetz;05/08/2007 10:15;24
Erabot;Bonnet_phrygien;05/08/2007 10:16;23
Badmood;Charles_Antoine_Chasset;06/08/2007 07:44;233
Badmood;Achille_Libéral_Treilhard;07/08/2007 02:59;206
Quasar-Hfo4;Alexandre_François_Marie_de_Beauharnais;07/08/2007 04:31;3
Quasar-Hfo4;Alexandre_François_Marie_de_Beauharnais;07/08/2007 04:31;2
Fredbo28;Alexandre_François_Marie_de_Beauharnais;07/08/2007 05:00;9
Badmood;Bon_Albert_Briois_de_Beaumetz;07/08/2007 07:54;203
Badmood;Camille_Borghèse;08/08/2007 08:45;120
Badmood;André_Joseph_Abrial;09/08/2007 02:15;52
Huster;Affaire_de_Nancy;09/08/2007 03:35;5
Badmood;Benjamin_Zix;09/08/2007 04:40;87
Khaerr;Bataille_de_Cholet;09/08/2007 06:12;6
Badmood;Carle_Vernet;09/08/2007 08:55;156
Eusebius;Affaire_de_Nancy;15/08/2007 08:29;39
Eusebius;Affaire_de_Nancy;15/08/2007 08:30;68
Eusebius;Affaire_de_Nancy;15/08/2007 08:35;289
82.127.252.53;Contributions_directes;18/08/2007 04:03;21
Estebanlenormand;André_Joseph_Abrial;18/08/2007 08:56;48
Fredbo28;10e_régiment_de_hussards;20/08/2007 08:28;13
86.198.223.234;Chouans_!;21/08/2007 06:04;559
86.198.223.234;Chouans_!;21/08/2007 06:16;384
86.198.223.234;Chouans_!;21/08/2007 06:17;33
86.198.223.234;Chouans_!;21/08/2007 06:17;8
86.198.223.234;Chouans_!;21/08/2007 06:17;10
86.198.223.234;Chouans_!;21/08/2007 06:18;25
Khaerr;Bataille_de_Cholet;26/08/2007 05:47;121
83.252.93.33;Coup_d'État_du_18_fructidor_an_V;27/08/2007 08:04;2
Fredbo28;1er_régiment_de_dragons;29/08/2007 10:01;153
