User;Name;Date;changes
Category;Category;Date[dd/MM/yyyy HH:mm];int
194.210.1.51;Bonnet_phrygien;19/10/2004 11:02;163
Ske;Bonnet_phrygien;19/10/2004 12:11;751
Ske;Bonnet_phrygien;19/10/2004 12:12;17
83.27.202.42;Bonnet_phrygien;21/10/2004 10:39;42
Med;Bonnet_phrygien;29/10/2004 11:06;24
Martin.komunide.com;Ci-devant;09/11/2004 12:37;71
Aoineko;Ci-devant;10/11/2004 05:02;44
Sam Hocevar;Bonnet_phrygien;28/11/2004 02:42;4
Cham;Ci-devant;15/12/2004 07:59;21
Sfrancois;Bonnet_phrygien;16/12/2004 11:26;35
Kelson;Bonnet_phrygien;25/12/2004 09:32;15
Durandal;Bonnet_phrygien;29/01/2005 07:36;4
FoeNyx;Ci-devant;01/02/2005 11:05;6
Mued;Bonnet_phrygien;03/03/2005 03:49;243
ThierryVignaud;Bonnet_phrygien;15/04/2005 07:33;289
Clm03;Alexandre_François_Marie_de_Beauharnais;17/04/2005 09:56;1651
Clm03;Alexandre_François_Marie_de_Beauharnais;17/04/2005 09:58;29
Clm03;Alexandre_François_Marie_de_Beauharnais;17/04/2005 10:34;87
Siren;Bien_national;23/04/2005 07:16;19
Siren;Bien_national;23/04/2005 08:12;1228
Jyp;Bien_national;23/04/2005 08:18;4
Clm03;Alexandre_François_Marie_de_Beauharnais;29/04/2005 12:27;104
83.197.81.154;Citoyen_actif;16/05/2005 02:38;275
83.197.81.154;Citoyen_actif;16/05/2005 02:41;61
84.5.152.231;Camille_Borghèse;17/05/2005 01:07;72
Ploum's;Camille_Borghèse;17/05/2005 06:33;132
(et)t;Alexandre_François_Marie_de_Beauharnais;04/06/2005 07:48;118
Aboumael;Camille_Borghèse;10/06/2005 01:26;61
Aboumael;Camille_Borghèse;10/06/2005 01:26;29
Richelieu;Comité_d'instruction_publique;10/06/2005 02:54;1349
Vargenau;Comité_d'instruction_publique;10/06/2005 03:20;180
Mirmillon;Comité_d'instruction_publique;10/06/2005 03:21;42
Sfrancois;Citoyen_actif;11/06/2005 07:10;528
Richelieu;Adoption_par_Louis_XVI_de_la_cocarde_tricolore;18/06/2005 03:42;1351
Jef-Infojef;Adoption_par_Louis_XVI_de_la_cocarde_tricolore;18/06/2005 05:48;17
Stanlekub;Adoption_par_Louis_XVI_de_la_cocarde_tricolore;18/06/2005 06:19;401
Lmaltier;Bonnet_phrygien;21/06/2005 08:31;2
Vargenau;Adoption_par_Louis_XVI_de_la_cocarde_tricolore;25/06/2005 08:42;99
Zwobot;Alexandre_François_Marie_de_Beauharnais;08/07/2005 12:04;138
Stanlekub;Adoption_par_Louis_XVI_de_la_cocarde_tricolore;07/08/2005 08:18;13
Philip;Alexandre_François_Marie_de_Beauharnais;17/08/2005 07:09;47
Richelieu;Adoption_par_Louis_XVI_de_la_cocarde_tricolore;28/08/2005 04:00;24
Neuceu;Adoption_par_Louis_XVI_de_la_cocarde_tricolore;31/08/2005 01:29;0
Tieno;Ci-devant;03/09/2005 05:34;9
Sherbrooke;Camille_Borghèse;05/09/2005 11:10;170
Spooky;Camille_Borghèse;06/09/2005 11:18;15
84.5.153.17;Complot_révolutionnaire_nantais_contre_les_modérés;16/09/2005 04:25;4500
Richelieu;Bataille_de_Cholet;16/09/2005 11:34;2753
Fourvin;Caroline_chérie_(1951);24/09/2005 11:40;799
Dr gonzo;Caroline_chérie_(1951);24/09/2005 12:38;3
